16	player	passing_cmp	A pass completion.
111	player	passing_cmp_air_yds	Length of a pass, not including the yards gained by the receiver after the catch.
4	play	passing_first_down	A first down or TD occurred due to a pass.
19	player	passing_incmp	Pass was incomplete.
112	player	passing_incmp_air_yds	Length of the pass, if it would have been a completion.
19	player	passing_int	Pass attempt that resulted in an interception.
20	player	passing_sk	The player was sacked.
103	player	passing_sk_yds	The yards lost by a player that was sacked.
16	player	passing_tds	A pass completion that resulted in a touchdown.
78	player	passing_twopta	A passing two-point conversion attempt.
77	player	passing_twoptm	A successful passing two-point conversion.
78	player	passing_twoptmissed	An unsuccessful passing two-point conversion.
16	player	passing_yds	Total yards resulting from a pass completion.
93	play	penalty	A penalty occurred.
5	play	penalty_first_down	A first down or TD occurred due to a penalty.
93	play	penalty_yds	The number of yards gained or lost from a penalty.
2	player	punting_blk	Punt was blocked. A blocked punt is a punt that is touched behind the line of scrimmage, and is recovered, or goes out of bounds, behind the line of scrimmage. If the impetus of the punt takes it beyond the line of scrimmage, it is not a blocked punt.
30	player	punting_i20	A punt where the punt return ended inside the opponent's 20 yard line.
32	player	punting_tot	A punt.
32	player	punting_touchback	A punt that results in a touchback.
32	player	punting_yds	The length of a punt.
38	player	puntret_downed	Punt return where the ball was downed by kicking team.
39	player	puntret_fair	Punt return resulted in a fair catch.
37	player	puntret_oob	Punt went out of bounds.
36	player	puntret_tds	A punt return touchdown.
34	player	puntret_tot	A punt return.
40	player	puntret_touchback	A punt return that resulted in a touchback.
36	player	puntret_yds	Yards gained by a punt return.
22	player	receiving_rec	A reception.
115	player	receiving_tar	Player was the target of a pass attempt.
24	player	receiving_tds	A reception that results in a touchdown.
105	player	receiving_twopta	A receiving two-point conversion attempt.
104	player	receiving_twoptm	A successful receiving two-point conversion.
105	player	receiving_twoptmissed	An unsuccessful receiving two-point conversion.
113	player	receiving_yac_yds	Yardage from where the ball was caught until the player's action was over.
24	player	receiving_yds	Yards resulting from a reception.
11	player	rushing_att	A rushing attempt.
3	play	rushing_first_down	A first down or TD occurred due to a rush.
95	player	rushing_loss	Ball carrier was tackled for a loss behind the line of scrimmage, where at least one defensive player is credited with ending the rush with a tackle, or tackle assist.
95	player	rushing_loss_yds	Yards lost from the ball carrier being tackled for a loss behind the line of scrimmage, where at least one defensive player is credited with ending the rush with a tackle, or tackle assist.
13	player	rushing_tds	A touchdown resulting from a rush attempt.
76	player	rushing_twopta	A rushing two-point conversion attempt.
75	player	rushing_twoptm	A successful rushing two-point conversion.
76	player	rushing_twoptmissed	An unsuccessful rushing two-point conversion.
13	player	rushing_yds	Yards resulting from a rush.
7	play	third_down_att	3rd down play.
6	play	third_down_conv	3rd down play resulted in a first down or touchdown.
7	play	third_down_failed	3rd down play did not result in a first down or touchdown.
68	play	timeout	Team took a time out.
301	play	xp_aborted	The extra point was aborted.
